InputID,TargetID,Distance
01_Bjdamm,105285,144410.165403764
01_Bjdamm,71415,289845.830732596
01_Bjdamm,68545,286555.676973521
01_Bjdamm,93235,144446.064075285
01_Bjdamm,180025,984540.631094449
01_Bjdamm,162015,770918.573639438
01_Bjdamm,53445,425444.850107166
01_Bjdamm,81525,288734.646073346
01_Bjdamm,86655,72416.7557235306
01_Bjdamm,98735,118736.035373575
01_Bjdamm,132165,499146.163027429
01_Bjdamm,99275,201138.139304324
01_Bjdamm,178985,976610.874759953
01_Bjdamm,140615,558474.462662736
01_Bjdamm,78645,220898.743840018
01_Bjdamm,64565,266199.173015442
01_Bjdamm,77215,216586.400034864
01_Bjdamm,134615,450308.413910981
03_Korpis,105285,123625.758193283
03_Korpis,71415,384390.333153431
03_Korpis,68545,327849.275964974
03_Korpis,93235,217219.965165446
03_Korpis,180025,907352.371353219
03_Korpis,162015,684577.648523133
03_Korpis,53445,515794.536031553
03_Korpis,81525,367824.921573554
03_Korpis,86655,150901.88107979
03_Korpis,98735,71290.5997296964
03_Korpis,132165,472307.155415969
03_Korpis,99275,136178.133636092
03_Korpis,178985,904237.644175203
03_Korpis,140615,472244.645363349
03_Korpis,78645,248464.1745831
03_Korpis,64565,353108.545019534
03_Korpis,77215,273135.591872794
03_Korpis,134615,403421.248370233
04_Fröjered,105285,264759.898858411
04_Fröjered,71415,133994.822454642
04_Fröjered,68545,287500.013118576
04_Fröjered,93235,129916.282505274
04_Fröjered,180025,1117978.33937964
04_Fröjered,162015,918036.918465813
04_Fröjered,53445,284458.405327583
04_Fröjered,81525,189851.672601387
04_Fröjered,86655,131396.748065125
04_Fröjered,98735,265678.314956974
04_Fröjered,132165,574430.126129634
04_Fröjered,99275,344757.168719296
04_Fröjered,178985,1103318.29581507
04_Fröjered,140615,706818.606703096
04_Fröjered,78645,264036.368025414
04_Fröjered,64565,150839.627189281
04_Fröjered,77215,207291.554396545
04_Fröjered,134615,554683.468937359
05_SträRed,105285,319077.986914794
05_SträRed,71415,100736.654196399
05_SträRed,68545,286250.11397064
05_SträRed,93235,177125.386337972
05_SträRed,180025,1171954.64758936
05_SträRed,162015,972469.269841071
05_SträRed,53445,231402.771555809
05_SträRed,81525,199556.418966981
05_SträRed,86655,171678.171900664
05_SträRed,98735,310266.800913337
05_SträRed,132165,621574.395319616
05_SträRed,99275,386553.972942296
05_SträRed,178985,1156695.11588394
05_SträRed,140615,761173.79585824
05_SträRed,78645,278839.476034798
05_SträRed,64565,113725.303648213
05_SträRed,77215,210429.902439863
05_SträRed,134615,606320.57538283
06_Risabo,105285,317066.247389027
06_Risabo,71415,159032.90868308
06_Risabo,68545,227244.421243102
06_Risabo,93235,200064.345474678
06_Risabo,180025,1169658.76440906
06_Risabo,162015,960556.151352255
06_Risabo,53445,235555.455140802
06_Risabo,81525,253207.940955415
06_Risabo,86655,134436.302879118
06_Risabo,98735,272923.082589978
06_Risabo,132165,642089.403497221
06_Risabo,99275,344273.334095743
06_Risabo,178985,1158253.71273262
06_Risabo,140615,748199.524169602
06_Risabo,78645,220423.889188618
06_Risabo,64565,82836.8358494985
06_Risabo,77215,150858.118253026
06_Risabo,134615,615944.569494039
07_Rothult,105285,296661.211638619
07_Rothult,71415,208659.296774219
07_Rothult,68545,189931.630872566
07_Rothult,93235,206779.500006003
07_Rothult,180025,1143105.43768313
07_Rothult,162015,927315.984276007
07_Rothult,53445,273417.058761181
07_Rothult,81525,287466.37381029
07_Rothult,86655,92755.2849026666
07_Rothult,98735,226598.699254025
07_Rothult,132165,636766.500796773
07_Rothult,99275,294720.122954862
07_Rothult,178985,1134728.83248261
07_Rothult,140615,714809.675009039
07_Rothult,78645,171417.882205419
07_Rothult,64565,109515.421831179
07_Rothult,77215,109626.55664635
07_Rothult,134615,601136.296065624
08_Ydreham,105285,304027.183780811
08_Ydreham,71415,213065.598066674
08_Ydreham,68545,182253.04435782
08_Ydreham,93235,215413.246560785
08_Ydreham,180025,1149446.32503851
08_Ydreham,162015,932690.530421327
08_Ydreham,53445,269713.168288312
08_Ydreham,81525,294870.681713461
08_Ydreham,86655,97680.9002417142
08_Ydreham,98735,229297.624246272
08_Ydreham,132165,645027.767365452
08_Ydreham,99275,295877.81489787
08_Ydreham,178985,1141445.73061241
08_Ydreham,140615,720208.996116195
08_Ydreham,78645,166360.992056154
08_Ydreham,64565,105047.523124965
08_Ydreham,77215,102291.757168935
08_Ydreham,134615,608802.641740491
09_Gröngöl,105285,397480.719063659
09_Gröngöl,71415,229597.868996312
09_Gröngöl,68545,160421.76761234
09_Gröngöl,93235,297052.766478613
09_Gröngöl,180025,1241943.67489884
09_Gröngöl,162015,1022249.48225957
09_Gröngöl,53445,196367.330064056
09_Gröngöl,81525,345886.820726459
09_Gröngöl,86655,188487.871968064
09_Gröngöl,98735,309145.126713021
09_Gröngöl,132165,735013.233397022
09_Gröngöl,99275,365400.909586757
09_Gröngöl,178985,1234641.05892277
09_Gröngöl,140615,809988.959648761
09_Gröngöl,78645,189543.146142865
09_Gröngöl,64565,47851.6304987327
09_Gröngöl,77215,108106.203949117
09_Gröngöl,134615,701810.870179054
10_Hällehult,105285,417533.041543951
10_Hällehult,71415,271941.707436174
10_Hällehult,68545,123731.356855556
10_Hällehult,93235,329743.157926326
10_Hällehult,180025,1253793.13469566
10_Hällehult,162015,1028656.71663038
10_Hällehult,53445,216233.145128384
10_Hällehult,81525,386727.268670261
10_Hällehult,86655,202693.495225765
10_Hällehult,98735,309828.749528742
10_Hällehult,132165,762011.159259693
10_Hällehult,99275,358045.159824612
10_Hällehult,178985,1248960.40447293
10_Hällehult,140615,817099.302330231
10_Hällehult,78645,166955.359237154
10_Hällehult,64565,88323.4368983359
10_Hällehult,77215,89326.0219040216
10_Hällehult,134615,723411.015147641
11_Ökalix,105285,733769.072926033
11_Ökalix,71415,1100782.63166584
11_Ökalix,68545,1064260.59069277
11_Ökalix,93235,895593.753043599
11_Ökalix,180025,203599.526993435
11_Ökalix,162015,81014.1568175053
11_Ökalix,53445,1275669.57514502
11_Ökalix,81525,1010515.51875197
11_Ökalix,86655,915427.167888769
11_Ökalix,98735,801500.161864873
11_Ökalix,132165,596660.166602433
11_Ökalix,99275,773681.372457196
11_Ökalix,178985,255976.399347262
11_Ökalix,140615,292848.838809366
11_Ökalix,78645,980101.111180479
11_Ökalix,64565,1116562.96180823
11_Ökalix,77215,1029080.25028565
11_Ökalix,134615,514639.818853326
12_Ökalix,105285,734007.659071214
12_Ökalix,71415,1101010.93732758
12_Ökalix,68545,1064555.7844909
12_Ökalix,93235,895820.742312882
12_Ökalix,180025,203287.055634537
12_Ökalix,162015,81303.0954854761
12_Ökalix,53445,1275926.3925056
12_Ökalix,81525,1010717.12383857
12_Ökalix,86655,915695.403034951
12_Ökalix,98735,801784.729406946
12_Ökalix,132165,596760.634121498
12_Ökalix,99275,773980.380506371
12_Ökalix,178985,255695.95726521
12_Ökalix,140615,293119.084742641
12_Ökalix,78645,980395.619497483
12_Ökalix,64565,1116827.17363596
12_Ökalix,77215,1029364.93746824
12_Ökalix,134615,514787.412264844
13_Ökalix,105285,734073.308573415
13_Ökalix,71415,1101064.25835989
13_Ökalix,68545,1064701.05274042
13_Ökalix,93235,895872.534599061
13_Ökalix,180025,203018.681729081
13_Ökalix,162015,81438.5623120411
13_Ökalix,53445,1276015.0422221
13_Ökalix,81525,1010740.34488964
13_Ökalix,86655,915799.501435658
13_Ökalix,98735,801912.762517905
13_Ökalix,132165,596686.248443807
13_Ökalix,99275,774132.319706316
13_Ökalix,178985,255416.477516242
13_Ökalix,140615,293226.131000933
13_Ökalix,78645,980539.725038534
13_Ökalix,64565,1116925.72030285
13_Ökalix,77215,1029493.14195761
13_Ökalix,134615,514755.892994349
14_Höglund,105285,562661.756679127
14_Höglund,71415,929391.17749419
14_Höglund,68545,905857.682436857
14_Höglund,93235,724198.897316227
14_Höglund,180025,320238.761005381
14_Höglund,162015,97712.2530658628
14_Höglund,53445,1106112.85663581
14_Höglund,81525,840210.963724503
14_Höglund,86655,748025.374140487
14_Höglund,98735,639096.174399814
14_Höglund,132165,449100.642709115
14_Höglund,99275,618435.312320069
14_Höglund,178985,338905.431687229
14_Höglund,140615,129891.311256622
14_Höglund,78645,821557.076665737
14_Höglund,64565,948218.03158346
14_Höglund,77215,866226.505786324
14_Höglund,134615,354484.824609247
15_Jörnmark,105285,561505.778711704
15_Jörnmark,71415,927367.301291476
15_Jörnmark,68545,909498.108078599
15_Jörnmark,93235,722112.983037317
15_Jörnmark,180025,314686.983762251
15_Jörnmark,162015,104064.817707214
15_Jörnmark,53445,1106118.0027833
15_Jörnmark,81525,836456.396765674
15_Jörnmark,86655,749188.409066738
15_Jörnmark,98735,641976.05887034
15_Jörnmark,132165,439553.58258098
15_Jörnmark,99275,622981.57000154
15_Jörnmark,178985,330685.519018292
15_Jörnmark,140615,134750.422673622
15_Jörnmark,78645,825221.318919786
15_Jörnmark,64565,948887.020921181
15_Jörnmark,77215,868812.7452144
15_Jörnmark,134615,346909.959042514
